,Unique ID,Date Taken (America/New_York),Time Taken (America/New_York),Time Spent,Q1 - Which Title Best Fits your Current Role?,Q2 - Did you switch careers into Data?,Q3 - Average Salary (in USD),Q4 - What Industry do you work in?,Q5 - Favorite Programming Language,Q6 - How Happy are you in your Current Position with the following? (Salary),Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q6 - How Happy are you in your Current Position with the following? (Coworkers),Q6 - How Happy are you in your Current Position with the following? (Management),Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Q10 - Current Age,Q11 - Which Country do you live in?,Q12 - Highest Level of Education,Q13 - Ethnicity
20,62a33dedd8c00e9f5419ce2b,6/10/2022,8:49,0:01:23,Data Analyst,Yes,53.0,Finance,Python,5.0,5.0,5.0,5.0,5.0,5.0,Easy,Remote Work,Male,29,Others,,Black or African American
21,62a33dfbd8c00e9f5419ceda,6/10/2022,8:50,0:01:35,Data Analyst,Yes,115.5,Tech,Others,10.0,5.0,10.0,6.0,10.0,10.0,Neither easy nor difficult,Remote Work,Female,31,United States,,White or Caucasian
22,62a33e38f3072dd8926221d3,6/10/2022,8:51,0:01:25,Data Analyst,Yes,20.0,Healthcare,Python,5.0,6.0,8.0,8.0,7.0,1.0,Neither easy nor difficult,Remote Work,Male,28,Others,,White or Caucasian
23,62a33e54d8c00e9f5419cfe9,6/10/2022,8:51,0:01:47,Data Analyst,No,20.0,Finance,Python,4.0,4.0,4.0,4.0,4.0,4.0,Neither easy nor difficult,Better Salary,Male,32,Others,,Hispanic or Latino
24,62a33e62575fa3a5ae88aabf,6/10/2022,8:51,0:02:14,Data Analyst,No,20.0,Tech,Python,7.0,8.0,8.0,8.0,3.0,8.0,Easy,Better Salary,Male,24,Others,,Black or African American
25,62a33e63cec54911e9ca4f99,6/10/2022,8:51,0:02:21,Data Analyst,No,20.0,Tech,Python,4.0,6.0,6.0,6.0,7.0,7.0,Easy,Good Work/Life Balance,Male,31,India,,Asian or Asian American
26,62a33e72bae91e4b8b82ea1a,6/10/2022,8:52,0:02:07,Data Analyst,No,75.5,Others,Others,7.0,10.0,5.0,5.0,5.0,2.0,Difficult,Others,Male,23,United States,,White or Caucasian
27,62a33e890f8c8599d5af13b9,6/10/2022,8:52,0:01:20,Data Analyst,Yes,115.5,Others,Python,1.0,6.0,9.0,1.0,0.0,2.0,Difficult,Remote Work,Female,33,United States,,Asian or Asian American
28,62a33e8bf8d5efcc22f7c79a,6/10/2022,8:52,0:01:34,Data Analyst,No,95.5,Healthcare,Others,6.0,7.0,7.0,7.0,7.0,4.0,Very Easy,Better Salary,Male,43,United States,,White or Caucasian
29,62a33e90cec54911e9ca5031,6/10/2022,8:52,0:01:34,Student/Looking/None,Yes,20.0,Others,R,0.0,0.0,5.0,0.0,0.0,0.0,Very Difficult,Remote Work,Female,23,Others,,Other (Please Specify):African
30,62a33e9df8f756164585277b,6/10/2022,8:52,0:01:47,Student/Looking/None,Yes,53.0,Finance,Python,10.0,7.0,10.0,10.0,5.0,3.0,Very Difficult,Good Work/Life Balance,Male,31,United States,,Black or African American
31,62a33eb6bc6861bf3176c5a3,6/10/2022,8:53,0:01:38,Data Analyst,Yes,75.5,Finance,Python,5.0,6.0,7.0,5.0,4.0,4.0,Neither easy nor difficult,Others,Male,31,United Kingdom,,White or Caucasian
32,62a33ee0bae91e4b8b82eaec,6/10/2022,8:53,0:03:30,Data Analyst,Yes,20.0,Others,Python,8.0,7.0,8.0,7.0,7.0,7.0,Difficult,Good Work/Life Balance,Male,25,India,,Asian or Asian American
33,62a33ee80f8c8599d5af14b7,6/10/2022,8:54,0:01:37,Data Engineer,No,137.5,Tech,Others,8.0,10.0,10.0,9.0,9.0,9.0,Easy,Better Salary,Male,43,United States,,White or Caucasian
34,62a33efe0a77c1a77f65bf1e,6/10/2022,8:54,0:02:08,Data Analyst,No,53.0,Finance,Python,2.0,3.0,5.0,5.0,5.0,5.0,Difficult,Better Salary,Female,26,Canada,,Other (Please Specify):South Asian
35,62a33f0ef408bae018ed3aeb,6/10/2022,8:54,0:03:54,Others,No,53.0,Others,Python,5.0,10.0,8.0,8.0,8.0,7.0,Neither easy nor difficult,Remote Work,Male,32,Others,,White or Caucasian
36,62a33f17f8f7561645852867,6/10/2022,8:54,0:02:28,Others,No,20.0,Tech,Python,2.0,9.0,7.0,7.0,5.0,6.0,Difficult,Better Salary,Male,31,Others,,White or Caucasian
37,62a33f52bc6861bf3176c72c,6/10/2022,8:55,0:01:33,Data Analyst,Yes,95.5,Healthcare,Others,3.0,5.0,6.0,4.0,4.0,5.0,Neither easy nor difficult,Better Salary,Male,29,United States,,White or Caucasian
38,62a33f56cf255543173005e9,6/10/2022,8:55,0:00:56,Data Analyst,Yes,20.0,Others,Python,3.0,1.0,3.0,2.0,3.0,1.0,Neither easy nor difficult,Good Culture,Male,24,Others,,Hispanic or Latino
39,62a33f5a5d257a28a30d7bb5,6/10/2022,8:55,0:02:38,Student/Looking/None,Yes,53.0,Construction,Python,2.0,0.0,2.0,2.0,0.0,0.0,Very Difficult,Remote Work,Male,34,United States,,White or Caucasian
40,62a33fa5cec54911e9ca51f1,6/10/2022,8:57,0:01:52,Data Analyst,Yes,53.0,Others,Others,5.0,6.0,6.0,5.0,4.0,6.0,Very Difficult,Better Salary,Male,42,Others,,Other (Please Specify):Indian
41,62a33fcb575fa3a5ae88ad59,6/10/2022,8:57,0:02:03,Student/Looking/None,Yes,20.0,Others,JavaScript,0.0,0.0,0.0,0.0,0.0,0.0,Difficult,Remote Work,Female,40,United States,,Asian or Asian American
42,62a33fcf18134ddc75ce91c3,6/10/2022,8:57,0:02:32,Student/Looking/None,No,53.0,Telecommunication,Python,3.0,1.0,3.0,4.0,0.0,3.0,Easy,Good Work/Life Balance,Male,43,Others,,White or Caucasian
43,62a34006d8c00e9f5419d341,6/10/2022,8:58,0:02:39,Student/Looking/None,Yes,20.0,Construction,Python,0.0,0.0,0.0,0.0,0.0,0.0,Very Difficult,Better Salary,Male,23,Others,,Other (Please Specify):Kenyan African 
44,62a34020575fa3a5ae88ade0,6/10/2022,8:59,0:01:11,Student/Looking/None,Yes,20.0,Education,Python,5.0,5.0,3.0,5.0,2.0,6.0,Difficult,Better Salary,Male,23,Others,,Asian or Asian American
45,62a34038b4da29969c62eafe,6/10/2022,8:59,0:03:55,Data Analyst,Yes,95.5,Others,Python,8.0,6.0,2.0,3.0,6.0,7.0,Neither easy nor difficult,Others,Male,28,United States,,White or Caucasian
46,62a3406b575fa3a5ae88ae78,6/10/2022,9:00,0:01:25,Data Analyst,No,75.5,Finance,Others,5.0,7.0,1.0,1.0,0.0,8.0,Neither easy nor difficult,Better Salary,Male,32,United States,,White or Caucasian
47,62a340cab4da29969c62ec01,6/10/2022,9:02,0:02:47,Data Analyst,Yes,75.5,Others,R,7.0,8.0,10.0,8.0,9.0,9.0,Difficult,Remote Work,Female,41,United States,,White or Caucasian
48,62a340d62e54c9003e5324b4,6/10/2022,9:02,0:00:56,Data Analyst,Yes,53.0,Finance,Python,5.0,6.0,6.0,6.0,6.0,6.0,Neither easy nor difficult,Remote Work,Male,33,United Kingdom,High School,White or Caucasian
49,62a340e10a77c1a77f65c2e7,6/10/2022,9:02,0:01:57,Others,Yes,187.5,Tech,Python,10.0,8.0,9.0,8.0,8.0,10.0,Easy,Good Work/Life Balance,Male,38,United States,,Hispanic or Latino
50,62a340f5bc6861bf3176caa4,6/10/2022,9:02,0:02:32,Data Analyst,No,20.0,Tech,Others,8.0,8.0,8.0,8.0,5.0,10.0,Easy,Better Salary,Female,22,India,,Other (Please Specify):Indian
51,62a34117cec54911e9ca54e7,6/10/2022,9:03,0:01:59,Student/Looking/None,Yes,20.0,Others,R,1.0,3.0,6.0,6.0,6.0,9.0,Difficult,Remote Work,Male,36,Others,Bachelors,Black or African American
52,62a3413a5d257a28a30d8074,6/10/2022,9:03,0:01:18,Data Engineer,No,75.5,Finance,Python,2.0,1.0,1.0,1.0,3.0,7.0,Easy,Remote Work,Female,28,United States,Masters,Asian or Asian American
53,62a341a1f3072dd8926229a5,6/10/2022,9:05,0:08:11,Student/Looking/None,Yes,20.0,Others,Others,,,,,,7.0,Very Easy,Others,Male,30,Others,,"Other (Please Specify):Black African, Zimbabwean Citizen"
54,62a341b0f8f7561645852d1d,6/10/2022,9:05,0:01:44,Data Analyst,Yes,75.5,Tech,Python,6.0,6.0,6.0,6.0,5.0,6.0,Difficult,Others,Female,24,United States,Bachelors,Hispanic or Latino
55,62a341e8f8d5efcc22f7d002,6/10/2022,9:06,0:01:58,Others,No,53.0,Others,C/C++,3.0,6.0,7.0,7.0,0.0,3.0,Very Difficult,Better Salary,Male,29,United States,Bachelors,White or Caucasian
56,62a34210cf25554317300c02,6/10/2022,9:07,0:02:15,Data Analyst,No,20.0,Tech,Python,4.0,9.0,10.0,9.0,9.0,10.0,Easy,Better Salary,Male,29,Others,Associates,Hispanic or Latino
57,62a3424eb4da29969c62eedd,6/10/2022,9:08,0:02:04,Others,Yes,53.0,Others,Python,6.0,8.0,8.0,7.0,9.0,7.0,Neither easy nor difficult,Good Work/Life Balance,Male,38,Others,Masters,White or Caucasian
58,62a34256bae91e4b8b82f16d,6/10/2022,9:08,0:01:46,Data Analyst,Yes,20.0,Finance,Others,3.0,5.0,4.0,3.0,3.0,3.0,Difficult,Good Work/Life Balance,Male,31,Others,Masters,White or Caucasian
59,62a3426cf408bae018ed409b,6/10/2022,9:09,0:01:33,Student/Looking/None,No,20.0,Tech,Python,1.0,4.0,5.0,5.0,1.0,1.0,Difficult,Better Salary,Male,25,United States,Masters,White or Caucasian
60,62a34272f8d5efcc22f7d15f,6/10/2022,9:09,0:01:09,Data Analyst,No,75.5,Telecommunication,Python,4.0,6.0,4.0,5.0,4.0,4.0,Neither easy nor difficult,Better Salary,Male,24,United States,Masters,White or Caucasian
61,62a34340bc6861bf3176d05b,6/10/2022,9:12,0:04:03,Others,Yes,53.0,Tech,Python,6.0,7.0,4.0,3.0,9.0,8.0,Difficult,Better Salary,Male,28,Others,Bachelors,White or Caucasian
62,62a34383b4da29969c62f1be,6/10/2022,9:13,0:01:03,Student/Looking/None,No,20.0,Tech,Python,7.0,5.0,8.0,0.0,0.0,0.0,Neither easy nor difficult,Good Culture,Female,23,India,Bachelors,Asian or Asian American
63,62a34389cec54911e9ca5a22,6/10/2022,9:13,0:01:01,Data Engineer,No,20.0,Tech,R,2.0,3.0,2.0,5.0,5.0,7.0,Neither easy nor difficult,Remote Work,Male,21,Others,Masters,Hispanic or Latino
64,62a343a22e54c9003e532a2a,6/10/2022,9:14,0:02:43,Data Analyst,No,20.0,Others,Python,4.0,4.0,4.0,4.0,5.0,6.0,Neither easy nor difficult,Remote Work,Male,29,Others,Bachelors,Other (Please Specify):Human
65,62a343d9f3072dd892622fe4,6/10/2022,9:15,0:03:15,Data Analyst,Yes,53.0,Tech,Python,5.0,6.0,7.0,7.0,7.0,6.0,Difficult,Better Salary,Male,25,United States,Bachelors,Asian or Asian American
66,62a34400d8c00e9f5419dc2b,6/10/2022,9:15,0:01:24,Data Analyst,No,53.0,Tech,Python,6.0,6.0,6.0,6.0,3.0,5.0,Difficult,Good Culture,Male,27,Others,Masters,Black or African American
67,62a34425f8d5efcc22f7d525,6/10/2022,9:16,0:01:28,Data Analyst,Yes,53.0,Tech,Python,3.0,9.0,10.0,8.0,9.0,9.0,Easy,Better Salary,Male,23,India,Bachelors,Asian or Asian American
68,62a34449575fa3a5ae88b637,6/10/2022,9:16,0:02:36,Others,No,95.5,Others,R,4.0,3.0,3.0,5.0,5.0,5.0,Difficult,Better Salary,Male,32,United States,Masters,Asian or Asian American
69,62a3445dcf255543173011e1,6/10/2022,9:17,0:02:41,Student/Looking/None,Yes,115.5,Healthcare,Python,5.0,5.0,7.0,5.0,7.0,7.0,Neither easy nor difficult,Remote Work,Male,22,India,Bachelors,Asian or Asian American
70,62a3447a575fa3a5ae88b6c0,6/10/2022,9:17,0:04:14,Data Analyst,No,20.0,Tech,Python,2.0,9.0,9.0,8.0,6.0,2.0,Easy,Better Salary,Male,25,Others,Bachelors,Asian or Asian American
71,62a3449f7dc029e2d66bf5d1,6/10/2022,9:18,0:01:15,Data Analyst,Yes,20.0,Telecommunication,Python,2.0,8.0,6.0,6.0,5.0,5.0,Neither easy nor difficult,Remote Work,Female,36,Others,Masters,White or Caucasian
72,62a344c5f408bae018ed4806,6/10/2022,9:19,0:02:21,Data Analyst,Yes,115.5,Tech,Others,10.0,6.0,9.0,5.0,8.0,7.0,Easy,Good Work/Life Balance,Female,27,United States,Bachelors,White or Caucasian
73,62a344c6f8d5efcc22f7d6e1,6/10/2022,9:19,0:02:17,Others,Yes,20.0,Tech,Python,5.0,5.0,5.0,5.0,5.0,1.0,Neither easy nor difficult,Others,Male,23,India,Bachelors,Asian or Asian American
74,62a344e1f3072dd892623328,6/10/2022,9:19,0:01:32,Student/Looking/None,Yes,20.0,Tech,Others,2.0,3.0,3.0,3.0,3.0,6.0,Very Difficult,Better Salary,Male,26,Others,Bachelors,Black or African American
75,62a3450424a262602738357f,6/10/2022,9:20,0:01:19,Others,No,95.5,Healthcare,Python,9.0,10.0,10.0,10.0,10.0,10.0,Very Easy,Good Work/Life Balance,Female,33,United States,PhD,Hispanic or Latino
76,62a3452818134ddc75ce9e1b,6/10/2022,9:20,0:01:33,Data Analyst,Yes,115.5,Others,Python,3.0,5.0,3.0,3.0,5.0,5.0,Easy,Better Salary,Male,27,Others,Masters,White or Caucasian
77,62a345490a77c1a77f65cc5b,6/10/2022,9:21,0:01:38,Data Analyst,Yes,53.0,Education,R,3.0,6.0,5.0,4.0,3.0,4.0,Neither easy nor difficult,Better Salary,Male,42,United States,Associates,White or Caucasian
78,62a3455bbc6861bf3176d57a,6/10/2022,9:21,0:02:36,Data Analyst,Yes,20.0,Tech,Python,6.0,7.0,8.0,7.0,7.0,8.0,Easy,Good Work/Life Balance,Male,29,Others,Masters,White or Caucasian
79,62a3457bf8d5efcc22f7da17,6/10/2022,9:22,0:01:08,Data Analyst,No,137.5,Tech,Python,4.0,7.0,6.0,4.0,2.0,4.0,Easy,Better Salary,Female,27,United States,Masters,Asian or Asian American
80,62a345b2bae91e4b8b82fad6,6/10/2022,9:22,0:01:41,Student/Looking/None,No,53.0,Healthcare,Python,0.0,10.0,10.0,10.0,4.0,2.0,Neither easy nor difficult,Remote Work,Female,39,United States,Bachelors,Hispanic or Latino
81,62a345c47dc029e2d66bf80a,6/10/2022,9:23,0:01:36,Data Analyst,Yes,53.0,Telecommunication,Python,6.0,6.0,7.0,5.0,6.0,7.0,Difficult,Good Culture,Male,31,Others,Masters,White or Caucasian
82,62a345e25d257a28a30d8b43,6/10/2022,9:23,0:03:09,Data Analyst,Yes,75.5,Others,Python,7.0,7.0,5.0,9.0,7.0,8.0,Easy,Good Work/Life Balance,Male,29,Others,Bachelors,Hispanic or Latino
83,62a34646f8d5efcc22f7dc5c,6/10/2022,9:25,0:01:22,Data Analyst,Yes,75.5,Education,R,7.0,7.0,7.0,7.0,4.0,7.0,Easy,Remote Work,Male,31,United States,Masters,White or Caucasian
84,62a34687f408bae018ed4c52,6/10/2022,9:26,0:01:30,Data Analyst,Yes,20.0,Finance,Python,10.0,9.0,9.0,10.0,9.0,10.0,Neither easy nor difficult,Good Culture,Male,30,Others,Masters,Hispanic or Latino
85,62a346a37dc029e2d66bfa6d,6/10/2022,9:26,0:03:05,Data Engineer,Yes,20.0,Tech,Python,7.0,8.0,6.0,5.0,5.0,9.0,Difficult,Better Salary,Male,33,Others,Masters,Hispanic or Latino
86,62a346a95d257a28a30d8cb9,6/10/2022,9:27,0:00:58,Data Analyst,No,75.5,Others,Python,7.0,8.0,9.0,7.0,7.0,7.0,Neither easy nor difficult,Better Salary,Male,25,United States,Bachelors,White or Caucasian
87,62a346b4bc6861bf3176d7ce,6/10/2022,9:27,0:01:09,Student/Looking/None,No,20.0,Tech,R,0.0,0.0,0.0,0.0,0.0,0.0,Neither easy nor difficult,Good Work/Life Balance,Male,23,India,Bachelors,Other (Please Specify):Indian
88,62a346cef8f756164585385b,6/10/2022,9:27,0:01:51,Data Analyst,Yes,53.0,Others,Others,4.0,4.0,3.0,3.0,5.0,6.0,Very Difficult,Better Salary,Male,33,United States,Bachelors,Asian or Asian American
89,62a346d724a2626027383abd,6/10/2022,9:27,0:02:29,Others,Yes,75.5,Others,Python,7.0,9.0,9.0,8.0,8.0,9.0,Neither easy nor difficult,Good Work/Life Balance,Male,35,Others,Bachelors,Hispanic or Latino
90,62a346d90a77c1a77f65d08d,6/10/2022,9:27,0:02:39,Data Analyst,No,53.0,Others,Python,6.0,8.0,5.0,,6.0,9.0,Neither easy nor difficult,Remote Work,Female,42,Others,Masters,White or Caucasian
91,62a34726f8d5efcc22f7dec7,6/10/2022,9:29,0:01:14,Data Analyst,No,75.5,Tech,Python,3.0,4.0,2.0,1.0,0.0,4.0,Neither easy nor difficult,Better Salary,Male,25,United States,Bachelors,White or Caucasian
92,62a3476c5d257a28a30d8e6d,6/10/2022,9:30,0:03:00,Data Analyst,No,95.5,Others,Python,5.0,4.0,5.0,4.0,3.0,6.0,Neither easy nor difficult,Others,Male,23,United States,Bachelors,White or Caucasian
93,62a347b4f8f7561645853a98,6/10/2022,9:31,0:02:02,Others,No,53.0,Healthcare,JavaScript,2.0,4.0,6.0,5.0,3.0,4.0,Easy,Better Salary,Female,51,United States,Bachelors,Black or African American
94,62a347f6b4da29969c62fb79,6/10/2022,9:32,0:01:45,Data Analyst,No,20.0,Telecommunication,Others,1.0,4.0,4.0,3.0,2.0,6.0,Very Difficult,Better Salary,Male,30,United Kingdom,Bachelors,Black or African American
95,62a3483018134ddc75cea4e6,6/10/2022,9:33,0:01:41,Data Analyst,Yes,53.0,Finance,Python,8.0,9.0,9.0,9.0,9.0,8.0,Very Difficult,Better Salary,Male,23,India,Bachelors,Asian or Asian American
96,62a348650f8c8599d5af2b77,6/10/2022,9:34,0:01:06,Others,Yes,53.0,Others,R,3.0,5.0,5.0,6.0,3.0,4.0,Neither easy nor difficult,Better Salary,Male,24,Canada,Bachelors,Asian or Asian American
97,62a3489318134ddc75cea659,6/10/2022,9:35,0:01:06,Student/Looking/None,Yes,53.0,Tech,Python,6.0,6.0,6.0,6.0,6.0,6.0,Easy,Good Culture,Male,25,Others,Masters,Asian or Asian American
98,62a348bf2e54c9003e533634,6/10/2022,9:35,0:02:22,Data Analyst,Yes,53.0,Finance,Python,4.0,4.0,6.0,4.0,5.0,6.0,Difficult,Better Salary,Female,55,United States,Masters,Other (Please Specify):Race isn't a thing
99,62a348c2f3072dd892623c10,6/10/2022,9:36,0:01:56,Data Analyst,No,95.5,Others,R,8.0,10.0,8.0,7.0,8.0,10.0,Very Easy,Remote Work,Female,30,United States,Masters,White or Caucasian
100,62a348f2f8d5efcc22f7e2ba,6/10/2022,9:36,0:01:10,Data Analyst,Yes,53.0,Others,Python,9.0,9.0,9.0,9.0,7.0,4.0,Difficult,Better Salary,Male,25,Canada,Bachelors,Asian or Asian American
101,62a349160a77c1a77f65d4db,6/10/2022,9:37,0:00:28,Data Analyst,Yes,75.5,Others,Python,6.0,9.0,7.0,6.0,7.0,7.0,Neither easy nor difficult,Better Salary,Male,28,United States,Masters,White or Caucasian
102,62a3493fb4da29969c62fe63,6/10/2022,9:38,0:02:22,Others,Yes,53.0,Others,Python,8.0,8.0,9.0,9.0,10.0,10.0,Very Easy,Better Salary,Male,34,United Kingdom,Bachelors,White or Caucasian
103,62a3496e575fa3a5ae88c4e6,6/10/2022,9:38,0:03:18,Data Analyst,Yes,20.0,Tech,Python,8.0,10.0,9.0,9.0,10.0,8.0,Neither easy nor difficult,Better Salary,Female,28,Others,Bachelors,Hispanic or Latino
104,62a3498e575fa3a5ae88c554,6/10/2022,9:39,0:01:55,Student/Looking/None,No,20.0,Others,Others,7.0,9.0,7.0,8.0,8.0,10.0,Neither easy nor difficult,Better Salary,Male,24,Others,Bachelors,Asian or Asian American
105,62a34991b4da29969c62ff4b,6/10/2022,9:39,0:01:15,Student/Looking/None,Yes,20.0,Healthcare,Python,3.0,7.0,7.0,7.0,1.0,2.0,Difficult,Better Salary,Male,31,United States,Masters,Black or African American
106,62a349bbf8f756164585400d,6/10/2022,9:40,0:02:07,Data Analyst,Yes,53.0,Others,Others,3.0,6.0,6.0,6.0,4.0,4.0,Easy,Better Salary,Male,25,Canada,Bachelors,Asian or Asian American
107,62a349c7cec54911e9ca67c7,6/10/2022,9:40,0:01:05,Data Analyst,Yes,115.5,Finance,Python,5.0,1.0,4.0,3.0,3.0,4.0,Easy,Better Salary,Female,38,United States,Bachelors,White or Caucasian
108,62a349d5d8c00e9f5419ead2,6/10/2022,9:40,0:01:32,Data Analyst,No,53.0,Finance,Python,5.0,5.0,5.0,5.0,4.0,5.0,Neither easy nor difficult,Good Culture,Male,30,Others,Bachelors,Hispanic or Latino
109,62a349e6b4da29969c63000c,6/10/2022,9:40,0:01:32,Data Analyst,Yes,20.0,Tech,C/C++,0.0,0.0,0.0,2.0,2.0,5.0,Neither easy nor difficult,Good Work/Life Balance,Male,25,India,Bachelors,Asian or Asian American
110,62a34a03cec54911e9ca6869,6/10/2022,9:41,0:01:08,Data Analyst,Yes,20.0,Tech,Python,1.0,2.0,1.0,5.0,6.0,6.0,Neither easy nor difficult,Better Salary,Female,29,Others,Bachelors,Black or African American
111,62a34ab15d257a28a30d9589,6/10/2022,9:44,0:04:27,Data Scientist,Yes,187.5,Finance,Python,7.0,5.0,3.0,6.0,4.0,4.0,Difficult,Good Work/Life Balance,Male,21,Others,Masters,White or Caucasian
112,62a34abc0f8c8599d5af31c5,6/10/2022,9:44,0:02:00,Data Analyst,Yes,75.5,Others,Others,5.0,8.0,8.0,7.0,6.0,7.0,Very Easy,Remote Work,Female,39,United States,Bachelors,Asian or Asian American
113,62a34b07cec54911e9ca6b6e,6/10/2022,9:45,0:01:19,Student/Looking/None,No,20.0,Others,Python,0.0,0.0,0.0,0.0,0.0,5.0,Neither easy nor difficult,Better Salary,Male,25,Others,Bachelors,White or Caucasian
